state_name,state_code,district_name,district_code,latitude,longitude,number_of_teachers,number_of_schools,number_of_students,ptr,tot_schools_having_toilet,tot_schools_having_drinkingwater,tot_schools_having_electricity,tot_schools_having_library,tot_govt_n_govtaided_schools_recieved_textbook,total_enrollment_cwsn,tot_schools_having_ramp,%_schools_having_toilet,%_schools_having_drinking_water,%_schools_having_electricity,%_schools_having_library,%_govt_aided_schools_received_textbook,%_schools_with_ramp
Delhi,10,Central,77,28.6859,77.2148,4465,226,118318,26.5,226,226,226,224,168,2008,226,100,100,100,99.1,74.3,100
Delhi,10,East,740,28.6146,77.2959,16087,582,469354,29.18,582,582,582,576,303,3271,582,100,100,100,99,52.1,100
Delhi,10,New Delhi,79,28.5669,77.1295,3455,90,87307,25.27,90,90,90,89,65,688,90,100,100,100,98.9,72.2,100
Delhi,10,North,80,28.6859,77.2148,6349,331,194217,30.59,331,331,331,330,217,812,331,100,100,100,99.7,65.6,100
Delhi,10,North East,741,28.7133,77.257,18631,848,597443,32.07,848,848,848,844,328,2564,848,100,100,100,99.5,38.7,100
Delhi,10,North West A,82,28.7186,77.0685,13409,522,400594,29.88,522,522,522,522,328,2260,522,100,100,100,100,62.8,100
Delhi,10,North West B,742,28.7373,77.091,19977,653,576622,28.86,653,653,653,650,337,3998,653,100,100,100,99.5,51.6,100
Delhi,10,South,743,28.5436,77.2706,9304,337,283915,30.52,337,337,337,336,182,2042,337,100,100,100,99.7,54,100
Delhi,10,South East,744,28.563,77.2611,13474,507,425321,31.57,507,507,507,507,260,3269,507,100,100,100,100,51.3,100
Delhi,10,South West A,84,28.5929,77.0346,7959,203,213203,26.79,203,203,203,202,113,1933,203,100,100,100,99.5,55.7,100
Delhi,10,South West B,745,28.6122,76.9865,15408,540,413984,26.87,540,540,540,537,225,2359,540,100,100,100,99.4,41.7,100
Delhi,10,West A,85,28.6246,77.2987,7303,276,212441,29.09,276,276,276,275,185,1396,276,100,100,100,99.6,67,100
Delhi,10,West B,746,28.6196,77.0881,16112,527,483914,30.03,527,527,527,524,201,2578,527,100,100,100,99.4,38.1,100